"","Year","Country","Energy type","Generation (TWh)"
"370",2000,"Netherlands","Bioenergy",1.991866
"371",2000,"Netherlands","Other renewables",0
"372",2000,"Netherlands","Production",89.383027
"373",2000,"Netherlands","Net imports",18.915
"374",2000,"Netherlands","Demand",108.298027
"375",2000,"Poland","Fossil",140.842596
"376",2000,"Poland","Coal",135.888
"377",2000,"Poland","Hard Coal",82.419
"378",2000,"Poland","Lignite",53.469
"379",2000,"Poland","Gas",0.928
"380",2000,"Poland","Other fossil",4.026596
"381",2000,"Poland","Nuclear",0
"382",2000,"Poland","Renewables",2.332
"383",2000,"Poland","Hydro",2.106
"384",2000,"Poland","Wind and solar",0.005
"385",2000,"Poland","Wind",0.005
"386",2000,"Poland","Solar",0
"387",2000,"Poland","Bioenergy",0.221
"388",2000,"Poland","Other renewables",0
"389",2000,"Poland","Production",143.174596
"390",2000,"Poland","Net imports",-6.373
"391",2000,"Poland","Demand",136.801596
"392",2000,"Portugal","Fossil",30.504
"393",2000,"Portugal","Coal",14.595
"394",2000,"Portugal","Hard Coal",14.595
"395",2000,"Portugal","Lignite",0
"396",2000,"Portugal","Gas",7.138
"397",2000,"Portugal","Other fossil",8.771
"398",2000,"Portugal","Nuclear",0
"399",2000,"Portugal","Renewables",12.868
"400",2000,"Portugal","Hydro",11.323
"401",2000,"Portugal","Wind and solar",0.169
"402",2000,"Portugal","Wind",0.168
"403",2000,"Portugal","Solar",0.001
"404",2000,"Portugal","Bioenergy",1.296
"405",2000,"Portugal","Other renewables",0.08
"406",2000,"Portugal","Production",43.372
"407",2000,"Portugal","Net imports",0.931
"408",2000,"Portugal","Demand",44.303
"409",2000,"Romania","Fossil",31.326
"410",2000,"Romania","Coal",18.926
"411",2000,"Romania","Hard Coal",0.383
"412",2000,"Romania","Lignite",18.543
"413",2000,"Romania","Gas",9.001
"414",2000,"Romania","Other fossil",3.399
"415",2000,"Romania","Nuclear",5.456
"416",2000,"Romania","Renewables",14.778
"417",2000,"Romania","Hydro",14.778
"418",2000,"Romania","Wind and solar",0
"419",2000,"Romania","Wind",0
"420",2000,"Romania","Solar",0
"421",2000,"Romania","Bioenergy",0
"422",2000,"Romania","Other renewables",0
"423",2000,"Romania","Production",51.56
"424",2000,"Romania","Net imports",-0.696
"425",2000,"Romania","Demand",50.864
"426",2000,"Slovakia","Fossil",9.689
"427",2000,"Slovakia","Coal",5.584
"428",2000,"Slovakia","Hard Coal",3.369
"429",2000,"Slovakia","Lignite",2.215
"430",2000,"Slovakia","Gas",3.344
"431",2000,"Slovakia","Other fossil",0.761
"432",2000,"Slovakia","Nuclear",16.494
"433",2000,"Slovakia","Renewables",4.61499999999999
"434",2000,"Slovakia","Hydro",4.61499999999999
"435",2000,"Slovakia","Wind and solar",0
"436",2000,"Slovakia","Wind",0
"437",2000,"Slovakia","Solar",0
"438",2000,"Slovakia","Bioenergy",0
"439",2000,"Slovakia","Other renewables",0
"440",2000,"Slovakia","Production",30.798
"441",2000,"Slovakia","Net imports",-2.696
"442",2000,"Slovakia","Demand",28.1019999999999
"443",2000,"Slovenia","Fossil",4.959
"444",2000,"Slovenia","Coal",4.611
"445",2000,"Slovenia","Hard Coal",0.307
"446",2000,"Slovenia","Lignite",4.304
"447",2000,"Slovenia","Gas",0.293
"448",2000,"Slovenia","Other fossil",0.055
"449",2000,"Slovenia","Nuclear",4.761
"450",2000,"Slovenia","Renewables",3.904451
"451",2000,"Slovenia","Hydro",3.834721
"452",2000,"Slovenia","Wind and solar",0
"453",2000,"Slovenia","Wind",0
"454",2000,"Slovenia","Solar",0
"455",2000,"Slovenia","Bioenergy",0.06973
"456",2000,"Slovenia","Other renewables",0
"457",2000,"Slovenia","Production",13.624451
"458",2000,"Slovenia","Net imports",-1.32099999999999
"459",2000,"Slovenia","Demand",12.303451
"460",2000,"Spain","Fossil",124.221
"461",2000,"Spain","Coal",79.094
"462",2000,"Spain","Hard Coal",72.884
"463",2000,"Spain","Lignite",6.21
"464",2000,"Spain","Gas",20.178
"465",2000,"Spain","Other fossil",24.949
"466",2000,"Spain","Nuclear",62.206
"467",2000,"Spain","Renewables",34.49
"468",2000,"Spain","Hydro",28.256
"469",2000,"Spain","Wind and solar",4.741
"470",2000,"Spain","Wind",4.727
"471",2000,"Spain","Solar",0.014
"472",2000,"Spain","Bioenergy",1.493
"473",2000,"Spain","Other renewables",0
"474",2000,"Spain","Production",220.917
"475",2000,"Spain","Net imports",4.441
"476",2000,"Spain","Demand",225.358
"477",2000,"Sweden","Fossil",4.77499999999999
"478",2000,"Sweden","Coal",1.636
"479",2000,"Sweden","Hard Coal",1.636
"480",2000,"Sweden","Lignite",0
"481",2000,"Sweden","Gas",0.484
"482",2000,"Sweden","Other fossil",2.655
"483",2000,"Sweden","Nuclear",57.316
"484",2000,"Sweden","Renewables",83.140418
"485",2000,"Sweden","Hydro",78.584
